source,target,value
Lou_Gehrig,Stephen_Hawking,99
Order_of_the_Companions_of_Honour,Stephen_Hawking,98
other-google,Stephen_Hawking,954807
Richard_Dawkins,Stephen_Hawking,95
HartleHawking_state,Stephen_Hawking,94
Eddie_Redmayne,Stephen_Hawking,9380
Dennis_W._Sciama,Stephen_Hawking,936
Steve_Hawkins,Stephen_Hawking,93
The_Universe_in_a_Nutshell,Stephen_Hawking,89
Michael_Green_(physicist),Stephen_Hawking,88
